element,web_name,team,pos,price,xp,sd,xmins,p_start,n_fix,fpl_ep_next,matched_prior,naive_recent6,eligible,xp_next,xp_total,p6,p10,p15
501,Danso,SUN,DEF,5.0,3.544,2.127,80.5,0.946,1,0.7,True,0.667,0,3.54;2.87;3.63;3.08;3.70;3.73,20.55,24.7,1.8,0.2
264,Bobb,FUL,MID,5.5,3.542,2.174,76.8,0.888,1,2.3,True,2.333,0,3.54;3.72;3.34;3.53;3.34;3.48,20.95,22.9,2.6,0.3
398,Foden,MCI,MID,7.0,3.539,2.535,64.0,0.698,1,3.7,True,3.667,1,3.54;3.75;3.58;3.49;3.47;3.72,21.55,25.7,4.0,0.5
330,Bogle,LEE,DEF,4.5,3.531,2.535,81.0,0.953,1,7.3,True,7.333,1,3.53;3.42;3.11;3.40;3.69;2.83,19.98,25.3,3.8,0.5
464,Wissa,NEW,FWD,6.2,3.525,2.436,78.1,0.908,1,4.3,True,4.333,0,3.52;3.60;3.39;3.92;3.55;3.83,21.81,31.8,5.6,0.7
472,Murillo,NFO,DEF,5.5,3.524,2.076,82.9,0.987,1,4.3,True,4.333,1,3.52;4.11;3.21;3.58;3.73;3.19,21.34,25.9,1.6,0.1
61,Truffert,BOU,DEF,5.5,3.495,2.102,83.5,0.995,1,1.7,True,1.667,1,3.49;3.57;2.89;4.20;3.03;3.62,20.8,28.3,2.1,0.1
138,Kostoulas,BHA,FWD,5.5,3.49,2.27,77.7,0.902,1,2.7,True,2.667,0,3.49;4.77;3.75;3.86;3.92;3.86,23.65,28.4,4.4,0.5
350,A.Becker,LIV,GKP,5.5,3.49,1.713,82.7,0.984,1,3.3,True,3.333,1,3.49;2.68;2.77;2.80;3.18;2.94,17.86,25.8,0.0,0
26,Havertz,ARS,FWD,7.5,3.487,2.303,72.5,0.835,1,5.3,True,5.333,0,3.49;3.53;3.57;3.43;3.63;3.64,21.29,28.1,4.5,0.5
91,Pinnock,COV,DEF,4.5,3.484,2.122,81.8,0.966,1,1.3,True,1.333,0,3.48;3.46;3.52;3.64;3.79;4.11,22.0,27.0,1.8,0.1
144,Gusto,CHE,DEF,5.0,3.48,2.257,77.9,0.905,1,1.0,True,1.0,1,3.48;2.63;2.89;3.03;3.59;3.00,18.62,25.6,2.9,0.2
358,Kerkez,LIV,DEF,5.4,3.451,2.262,83.4,0.991,1,2.0,True,2.0,1,3.45;2.54;2.74;2.67;3.14;3.07,17.61,27.0,2.3,0.2
514,Tel,TOT,MID,5.8,3.445,2.089,74.4,0.85,1,2.3,True,2.333,0,3.45;3.48;3.31;3.34;3.21;3.36,20.15,19.6,2.1,0.3
31,Konsa,ARS,DEF,4.4,3.443,2.089,83.0,0.985,1,1.7,True,1.667,1,3.44;2.78;3.24;3.16;3.53;2.77,18.92,30.2,1.5,0.1
124,Groß,BHA,MID,5.5,3.44,1.956,83.1,0.986,1,5.3,True,5.333,1,3.44;4.22;3.63;3.65;3.63;3.54,22.11,19.5,1.7,0.2
519,Gallagher,TOT,MID,5.4,3.439,1.865,81.3,0.957,1,1.0,True,1.0,1,3.44;3.46;3.29;3.37;3.21;3.35,20.12,15.9,3.4,0.2
129,Ayari,BHA,MID,5.4,3.438,1.785,81.0,0.953,1,1.3,True,1.333,1,3.44;4.01;3.59;3.59;3.56;3.48,21.67,13.8,2.8,0.1
467,Sels,NFO,GKP,5.0,3.438,1.593,83.1,0.986,1,3.0,True,3.0,1,3.44;4.04;3.15;3.27;3.71;3.13,20.74,20.8,0.0,0
569,Gonzalo,FUL,FWD,6.0,3.432,2.398,68.1,0.811,1,3.3,False,3.333,1,3.43;3.63;3.05;3.23;3.05;3.29,19.68,26.6,4.6,0.5
